kvalue	0.0005	0.001	0.002	0.005	0.01	0.02	0.05	0.1
0.75	0	0	0	0	0	0	0	0
1.25	0	0	0	0	0	0	0	0
1.75	888.8716814	886.6453145	903.4409055	950.8092681	960.0755579	1086.309004	1557.289628	2411.535005
2.25	1350.448751	1382.543531	1388.961987	1421.719145	1454.379701	1740.958748	2091.034029	2217.37887
2.75	1195.96946	1198.884138	1224.859267	1300.711219	1330.997943	1463.809268	1947.649547	2596.766285
3.25	1932.470673	1936.502677	2004.51144	1939.909743	1898.266248	2549.120616	3724.339487	3909.475179
3.75	1524.142822	1548.76009	1565.982295	1617.04728	1650.515912	1899.111581	2561.949288	3320.24859
4.25	1636.49068	1655.835378	1656.36166	1650.531457	1652.274305	1933.689669	2018.122174	2534.725562
4.75	2716.332885	2717.847487	2754.258097	2861.159191	2915.572122	3302.467571	3880.745871	5124.671515
5.25	2327.519949	2375.267563	2422.956479	2638.650945	2630.919242	2932.739447	4019.825876	4850.352568
5.75	2961.343748	2979.060783	3031.023082	3125.071004	3148.886288	3407.620928	4418.996277	5545.531424
6.25	3519.402758	3515.096152	3596.433233	3587.674785	3628.717366	4064.973494	4861.500674	6343.485507
6.75	4312.851549	4344.501254	4393.427871	4493.429746	4580.894232	4875.009996	5956.035599	7444.379252
7.25	4303.124895	4343.921081	4400.604319	4524.556819	4608.568144	5089.024317	6544.94262	8530.700079
7.75	4462.128326	4518.56666	4571.676573	4749.903018	4813.555311	5459.223583	6548.742287	8910.781394
8.25	6121.610428	6092.892834	6094.964175	6314.747386	6396.341492	7073.531007	8464.517389	10197.27943
8.75	5654.178825	5643.78913	5643.601169	5863.078657	5944.156074	6591.99509	7820.450637	9903.351771
9.25	6636.575746	6661.704181	6679.364877	6887.876509	6950.820532	7731.083509	8785.510194	11335.83064
9.75	6104.93965	6094.811243	6089.758988	6227.968556	6223.149406	6755.881626	8870.953294	10991.16367
10.25	7188.636742	7192.304114	7144.100708	7105.839039	7260.069115	7674.987972	9840.34582	12345.04667
10.75	7005.661322	7059.099573	7086.760519	7377.225075	7447.975997	8152.225997	9727.471126	12637.99471
11.25	7213.342436	7195.56428	7205.514176	7531.491651	7550.168681	8488.908241	10117.8198	12338.27219
11.75	7062.941759	7063.535514	7103.358778	7245.233966	7351.112045	8085.2536	10432.3164	13005.00873
12.25	8307.489715	8325.91649	8351.544665	8500.654819	8617.172589	9307.26643	11931.95889	15481.17458
12.75	8553.009781	8536.84465	8570.916417	8816.756817	8901.439262	9630.457058	11692.16216	14712.50871
13.25	8096.618131	8102.916115	8151.721991	8334.759361	8440.62254	8810.983119	10823.15817	14112.45855
13.75	7966.258666	7995.510874	8095.312885	8286.624494	8319.222338	9099.054392	11701.51578	14027.86514
14.25	9478.051433	9523.280067	9564.910004	9662.417876	9715.479282	10342.11434	12638.33067	15238.9766
14.75	8686.612219	8707.698192	8810.396251	9003.015156	9113.228879	10169.52448	12207.90827	14916.35903
15.25	9874.727471	9959.227761	9996.752198	10172.15123	10205.56422	10889.77525	13263.62323	16059.68674
15.75	9064.775743	9116.176794	9201.7928	9471.623977	9571.214998	10243.89295	12648.01237	15794.70569
16.25	9454.503107	9484.763472	9545.614335	9828.821138	9866.386119	10644.85107	13062.08895	15888.25192
